time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
1.83,80.00,80.00,0.00,0.00,0.00,60.00,0
1.88,10.43,80.00,0.00,0.00,0.00,60.00,0
1.93,15.02,80.00,0.00,0.00,0.00,60.00,0
1.98,24.88,80.00,0.00,0.00,0.00,60.00,0
2.03,10.77,80.00,0.00,0.00,0.00,60.00,0
2.08,10.77,80.00,0.00,0.00,0.00,60.00,0
2.13,10.77,80.00,0.00,0.00,0.00,60.00,0
2.18,11.10,80.00,0.00,0.00,0.00,60.00,0
2.23,12.79,80.00,0.00,0.00,0.00,60.00,0
2.28,12.11,80.00,0.00,0.00,0.00,60.00,0
2.33,10.08,80.00,0.00,0.00,0.00,60.00,0
2.38,9.42,80.00,0.00,0.00,0.00,60.00,0
2.43,9.43,80.00,0.00,0.00,0.00,60.00,0
2.48,8.08,80.00,0.00,0.00,0.00,60.00,0
2.53,8.75,80.00,0.00,0.00,0.00,60.00,0
2.58,9.43,80.00,0.00,0.00,0.00,60.00,0
2.63,9.09,80.00,0.00,0.00,0.00,60.00,0
2.68,8.75,80.00,0.00,0.00,0.00,60.00,0
2.73,9.43,80.00,0.00,0.00,0.00,60.00,0
2.78,9.43,80.00,0.00,0.00,0.00,60.00,0
2.83,10.44,80.00,0.00,0.00,0.00,60.00,0
2.88,11.46,80.00,0.00,0.00,0.00,60.00,0
2.93,11.11,80.00,0.00,0.00,0.00,60.00,0
2.98,12.47,80.00,0.00,0.00,0.00,60.00,0
3.03,13.46,80.00,0.00,0.00,0.00,60.00,0
3.08,13.43,80.00,0.00,0.00,0.00,60.00,0
3.13,14.71,80.00,0.00,0.00,0.00,60.00,0
3.18,13.70,80.00,0.00,0.00,0.00,60.00,0
3.23,13.70,80.00,0.00,0.00,0.00,60.00,0
3.28,14.05,80.00,0.00,0.00,0.00,60.00,0
3.33,16.40,80.00,0.00,0.00,0.00,60.00,0
3.38,16.38,80.00,0.00,0.00,0.00,60.00,0
3.43,16.72,80.00,0.00,0.00,0.00,60.00,0
3.48,16.40,80.00,0.00,0.00,0.00,60.00,0
3.53,16.38,80.00,0.00,0.00,0.00,60.00,0
3.58,16.38,80.00,0.00,0.00,0.00,60.00,0
3.63,16.07,80.00,0.00,0.00,0.00,60.00,0
3.68,16.05,80.00,0.00,0.00,0.00,60.00,0
3.73,19.96,80.00,0.00,0.00,0.00,60.00,0
3.78,14.05,80.00,0.00,0.00,0.00,60.00,0
3.83,16.07,80.00,0.00,0.00,0.00,60.00,0
3.88,13.14,80.00,0.00,0.00,0.00,60.00,0
3.93,12.45,80.00,0.00,0.00,0.00,60.00,0
3.98,16.07,80.00,0.00,0.00,0.00,60.00,0
4.03,10.10,80.00,0.00,0.00,0.00,60.00,0
4.08,10.43,80.00,0.00,0.00,0.00,60.00,0
4.13,9.76,80.00,0.00,0.00,0.00,60.00,0
4.18,8.75,80.00,0.00,0.00,0.00,60.00,0
4.23,8.75,80.00,0.00,0.00,0.00,60.00,0
4.28,7.75,80.00,0.00,0.00,0.00,60.00,0
4.33,7.77,80.00,0.00,0.00,0.00,60.00,0
4.38,6.81,80.00,0.00,0.00,0.00,60.00,0
4.43,6.48,80.00,0.00,0.00,0.00,60.00,0
4.48,5.85,80.00,0.00,0.00,0.00,60.00,0
4.53,6.48,80.00,0.00,0.00,0.00,60.00,0
4.58,8.08,80.00,0.00,0.00,0.00,60.00,0
4.63,8.40,80.00,0.00,0.00,0.00,60.00,0
4.68,7.12,80.00,0.00,0.00,0.00,60.00,0
4.73,6.16,80.00,0.00,0.00,0.00,60.00,0
4.78,5.52,80.00,0.00,0.00,0.00,60.00,0
4.83,5.52,80.00,0.00,0.00,0.00,60.00,0
4.88,5.52,80.00,0.00,0.00,0.00,60.00,0
4.93,6.48,80.00,0.00,0.00,0.00,60.00,0
4.98,6.48,80.00,0.00,0.00,0.00,60.00,0
5.03,10.77,80.00,0.00,0.00,0.00,60.00,0
5.08,6.17,80.00,0.00,0.00,0.00,60.00,0
5.13,6.16,80.00,0.00,0.00,0.00,60.00,0
5.18,6.48,80.00,0.00,0.00,0.00,60.00,0
5.23,6.48,80.00,0.00,0.00,0.00,60.00,0
5.28,7.77,80.00,0.00,0.00,0.00,60.00,0
5.33,7.77,80.00,0.00,0.00,0.00,60.00,0
5.38,8.08,80.00,0.00,0.00,0.00,60.00,0
5.43,8.40,80.00,0.00,0.00,0.00,60.00,0
5.48,8.76,80.00,0.00,0.00,0.00,60.00,0
5.53,10.43,80.00,0.00,0.00,0.00,60.00,0
