time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
14.83,7.75,29.89,0.00,0.00,0.00,9.89,0
14.88,8.08,29.89,0.00,0.00,0.00,9.89,0
14.93,8.40,29.89,0.00,0.00,0.00,9.89,0
14.98,7.43,29.89,0.00,0.00,0.00,9.89,0
15.03,7.75,29.89,0.00,0.00,0.00,9.89,0
15.08,8.08,29.89,0.00,0.00,0.00,9.89,0
15.13,7.44,29.89,0.00,0.00,0.00,9.89,0
15.18,7.75,29.89,0.00,0.00,0.00,9.89,0
15.23,7.12,29.89,0.00,0.00,0.00,9.89,0
15.28,6.48,29.89,0.00,0.00,0.00,9.89,0
15.33,5.83,29.89,0.00,0.00,0.00,9.89,0
15.38,6.16,29.89,0.00,0.00,0.00,9.89,0
15.43,6.79,29.89,0.00,0.00,0.00,9.89,0
15.48,6.16,29.89,0.00,0.00,0.00,9.89,0
15.53,5.52,29.89,0.00,0.00,0.00,9.89,0
15.58,4.87,29.89,0.00,0.00,0.00,9.89,0
15.63,5.20,29.89,0.00,0.00,0.00,9.89,0
15.68,4.56,29.89,0.00,0.00,0.00,9.89,0
15.73,4.87,29.89,0.00,0.00,0.00,9.89,0
15.78,5.52,29.89,0.00,0.00,0.00,9.89,0
15.83,4.56,29.89,0.00,0.00,0.00,9.89,0
15.88,4.24,29.89,0.00,0.00,0.00,9.89,0
15.93,3.60,29.89,0.00,0.00,0.00,9.89,0
15.98,3.93,29.89,0.00,0.00,0.00,9.89,0
16.03,4.56,29.89,0.00,0.00,0.00,9.89,0
16.08,3.93,29.89,0.00,0.00,0.00,9.89,0
16.13,2.97,29.89,0.00,0.00,0.00,9.89,0
16.18,3.29,29.89,0.00,0.00,0.00,9.89,0
16.23,3.29,29.89,0.00,0.00,0.00,9.89,0
16.28,3.29,29.89,0.00,0.00,0.00,9.89,0
16.33,2.97,29.89,0.00,0.00,0.00,9.89,0
16.38,2.97,29.89,0.00,0.00,0.00,9.89,0
16.43,3.93,29.89,0.00,0.00,0.00,9.89,0
16.48,3.60,29.89,0.00,0.00,0.00,9.89,0
16.53,3.60,29.89,0.00,0.00,0.00,9.89,0
16.58,3.28,29.89,0.00,0.00,0.00,9.89,0
16.63,3.28,29.89,0.00,0.00,0.00,9.89,0
16.68,4.24,29.89,0.00,0.00,0.00,9.89,0
16.73,3.93,29.89,0.00,0.00,0.00,9.89,0
16.78,3.93,29.89,0.00,0.00,0.00,9.89,0
16.83,3.93,29.89,0.00,0.00,0.00,9.89,0
16.88,3.60,29.89,0.00,0.00,0.00,9.89,0
16.93,4.24,29.89,0.00,0.00,0.00,9.89,0
16.98,3.93,29.89,0.00,0.00,0.00,9.89,0
17.03,4.56,29.89,0.00,0.00,0.00,9.89,0
17.08,4.89,29.89,0.00,0.00,0.00,9.89,0
17.13,5.52,29.89,0.00,0.00,0.00,9.89,0
17.18,4.87,29.89,0.00,0.00,0.00,9.89,0
17.23,6.48,29.89,0.00,0.00,0.00,9.89,0
17.28,6.48,29.89,0.00,0.00,0.00,9.89,0
17.33,7.12,29.89,0.00,0.00,0.00,9.89,0
17.38,6.48,29.89,0.00,0.00,0.00,9.89,0
17.43,6.81,29.89,0.00,0.00,0.00,9.89,0
17.48,7.12,29.89,0.00,0.00,0.00,9.89,0
17.53,7.75,29.89,0.00,0.00,0.00,9.89,0
17.58,8.08,29.89,0.00,0.00,0.00,9.89,0
17.63,8.08,29.89,0.00,0.00,0.00,9.89,0
17.68,8.40,29.89,0.00,0.00,0.00,9.89,0
17.73,9.09,29.89,0.00,0.00,0.00,9.89,0
17.78,9.42,29.89,0.00,0.00,0.00,9.89,0
17.83,9.76,29.89,0.00,0.00,0.00,9.89,0
17.88,10.10,29.89,0.00,0.00,0.00,9.89,0
17.93,10.43,29.89,0.00,0.00,0.00,9.89,0
17.98,11.11,29.89,0.00,0.00,0.00,9.89,0
18.03,10.43,29.89,0.00,0.00,0.00,9.89,0
18.08,11.11,29.89,0.00,0.00,0.00,9.89,0
18.13,11.78,29.89,0.00,0.00,0.00,9.89,0
18.18,11.11,29.89,0.00,0.00,0.00,9.89,0
18.23,11.78,29.89,0.00,0.00,0.00,9.89,0
