time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
2.57,80.00,10.09,0.00,0.00,0.00,7.00,0
2.62,12.47,10.66,1.08,11.98,12.19,7.00,1
2.67,12.13,10.90,-1.69,-25.38,-25.72,7.00,1
2.72,12.13,10.99,-2.97,-25.53,-26.12,7.00,1
2.77,11.80,11.03,-3.56,-17.93,-18.64,7.00,1
2.82,12.79,11.05,-3.83,-10.99,-11.76,7.00,1
2.87,12.13,11.06,-3.96,-6.27,-7.06,7.00,1
2.92,12.13,11.06,-4.01,-3.42,-4.22,7.00,1
2.97,12.47,11.06,-4.04,-1.81,-2.62,7.00,1
3.02,12.14,11.06,-4.05,-0.94,-1.75,7.00,1
3.07,13.48,11.06,-4.06,-0.48,-1.29,7.00,1
3.12,14.39,11.06,-4.06,-0.24,-1.05,7.00,1
3.17,11.11,11.06,-4.06,-0.12,-0.93,7.00,1
3.22,12.13,11.06,-4.06,-0.06,-0.87,7.00,1
3.27,11.46,11.06,-4.06,-0.03,-0.84,7.00,1
3.32,12.13,11.06,-4.06,-0.01,-0.83,7.00,1
3.37,14.39,11.06,-4.06,-0.01,-0.82,7.00,1
3.42,14.73,11.06,-4.06,-0.00,-0.82,7.00,1
3.47,13.70,11.06,-4.06,-0.00,-0.81,7.00,1
3.52,15.38,11.06,-4.06,-0.00,-0.81,7.00,1
3.57,15.76,11.06,-4.06,-0.00,-0.81,7.00,1
3.62,17.05,11.06,-4.06,-0.00,-0.81,7.00,1
3.67,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
3.72,16.70,11.06,-4.06,-0.00,-0.81,7.00,1
3.77,16.07,11.06,-4.06,-0.00,-0.81,7.00,1
3.82,16.72,11.06,-4.06,-0.00,-0.81,7.00,1
3.87,16.41,11.06,-4.06,-0.00,-0.81,7.00,1
3.92,16.40,11.06,-4.06,-0.00,-0.81,7.00,1
3.96,19.33,11.06,-4.06,-0.00,-0.81,7.00,1
4.01,18.69,11.06,-4.06,-0.00,-0.81,7.00,1
4.06,17.72,11.06,-4.06,-0.00,-0.81,7.00,1
4.11,16.74,11.06,-4.06,-0.00,-0.81,7.00,1
4.16,16.74,11.06,-4.06,-0.00,-0.81,7.00,1
4.21,17.06,11.06,-4.06,-0.00,-0.81,7.00,1
4.26,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
4.31,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
4.36,16.41,11.06,-4.06,-0.00,-0.81,7.00,1
4.41,15.42,11.06,-4.06,-0.00,-0.81,7.00,1
4.46,15.42,11.06,-4.06,-0.00,-0.81,7.00,1
4.51,15.78,11.06,-4.06,-0.00,-0.81,7.00,1
4.56,15.76,11.06,-4.06,-0.00,-0.81,7.00,1
4.61,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
4.66,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
4.71,15.07,11.06,-4.06,-0.00,-0.81,7.00,1
4.76,16.41,11.06,-4.06,-0.00,-0.81,7.00,1
4.81,15.42,11.06,-4.06,-0.00,-0.81,7.00,1
4.86,15.76,11.06,-4.06,-0.00,-0.81,7.00,1
4.91,15.76,11.06,-4.06,-0.00,-0.81,7.00,1
4.96,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
5.01,15.42,11.06,-4.06,-0.00,-0.81,7.00,1
5.06,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
5.11,15.42,11.06,-4.06,-0.00,-0.81,7.00,1
5.16,15.76,11.06,-4.06,-0.00,-0.81,7.00,1
5.21,13.74,11.06,-4.06,-0.00,-0.81,7.00,1
5.26,12.81,11.06,-4.06,-0.00,-0.81,7.00,1
5.31,12.14,11.06,-4.06,-0.00,-0.81,7.00,1
5.36,12.81,11.06,-4.06,-0.00,-0.81,7.00,1
5.41,12.14,11.06,-4.06,-0.00,-0.81,7.00,1
5.46,13.15,11.06,-4.06,-0.00,-0.81,7.00,1
5.51,14.06,11.06,-4.06,-0.00,-0.81,7.00,1
5.56,14.75,11.06,-4.06,-0.00,-0.81,7.00,1
5.61,11.47,11.06,-4.06,-0.00,-0.81,7.00,1
5.66,11.47,11.06,-4.06,-0.00,-0.81,7.00,1
5.71,11.47,11.06,-4.06,-0.00,-0.81,7.00,1
5.76,10.46,11.06,-4.06,-0.00,-0.81,7.00,1
5.81,10.79,11.06,-4.06,-0.00,-0.81,7.00,1
5.86,12.83,11.06,-4.06,-0.00,-0.81,7.00,1
5.91,13.15,11.06,-4.06,-0.00,-0.81,7.00,1
5.96,13.72,11.06,-4.06,-0.00,-0.81,7.00,1
6.01,14.06,11.06,-4.06,-0.00,-0.81,7.00,1
6.06,13.15,11.06,-4.06,-0.00,-0.81,7.00,1
6.11,13.50,11.06,-4.06,-0.00,-0.81,7.00,1
6.16,13.72,11.06,-4.06,-0.00,-0.81,7.00,1
6.21,14.06,11.06,-4.06,-0.00,-0.81,7.00,1
6.26,17.06,11.06,-4.06,-0.00,-0.81,7.00,1
6.31,16.09,11.06,-4.06,-0.00,-0.81,7.00,1
6.36,10.79,11.06,-4.06,-0.00,-0.81,7.00,1
6.41,9.78,11.06,-4.06,-0.00,-0.81,7.00,1
6.46,10.12,11.06,-4.06,-0.00,-0.81,7.00,1
6.51,9.11,11.06,-4.06,-0.00,-0.81,7.00,1
6.56,9.11,11.06,-4.06,-0.00,-0.81,7.00,1
6.61,9.43,11.06,-4.06,-0.00,-0.81,7.00,1
6.66,9.43,11.06,-4.06,-0.00,-0.81,7.00,1
6.71,9.78,11.06,-4.06,-0.00,-0.81,7.00,1
6.76,8.76,11.06,-4.06,-0.00,-0.81,7.00,1
6.81,9.11,11.06,-4.06,-0.00,-0.81,7.00,1
6.86,8.09,11.06,-4.06,-0.00,-0.81,7.00,1
6.91,8.42,11.06,-4.06,-0.00,-0.81,7.00,1
6.96,9.11,11.06,-4.06,-0.00,-0.81,7.00,1
7.01,9.45,11.06,-4.06,-0.00,-0.81,7.00,1
7.06,8.42,11.06,-4.06,-0.00,-0.81,7.00,1
7.11,8.76,11.06,-4.06,-0.00,-0.81,7.00,1
7.16,9.11,11.06,-4.06,-0.00,-0.81,7.00,1
7.21,8.09,11.06,-4.06,-0.00,-0.81,7.00,1
7.26,8.40,11.06,-4.06,-0.00,-0.81,7.00,1
