time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
7.31,7.77,11.06,-4.06,-0.00,-0.81,7.00,1
7.36,7.13,11.06,-4.06,-0.00,-0.81,7.00,1
7.41,7.44,11.06,-4.06,-0.00,-0.81,7.00,1
7.46,6.81,11.06,-4.06,-0.00,-0.81,7.00,1
7.51,7.13,11.06,-4.06,-0.00,-0.81,7.00,1
7.56,7.44,11.06,-4.06,-0.00,-0.81,7.00,1
7.61,7.77,11.06,-4.06,-0.00,-0.81,7.00,1
7.66,7.77,11.06,-4.06,-0.00,-0.81,7.00,1
7.71,7.13,11.06,-4.06,-0.00,-0.81,7.00,1
7.76,7.13,11.06,-4.06,-0.00,-0.81,7.00,1
7.81,6.48,11.06,-4.06,-0.00,-0.81,7.00,1
7.86,5.52,11.06,-4.06,-0.00,-0.81,7.00,1
7.91,5.87,11.06,-4.06,-0.00,-0.81,7.00,1
7.96,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.01,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
8.06,5.52,11.06,-4.06,-0.00,-0.81,7.00,1
8.11,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.16,4.89,11.06,-4.06,-0.00,-0.81,7.00,1
8.21,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
8.26,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
8.31,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
8.36,5.52,11.06,-4.06,-0.00,-0.81,7.00,1
8.41,5.54,11.06,-4.06,-0.00,-0.81,7.00,1
8.46,7.13,11.06,-4.06,-0.00,-0.81,7.00,1
8.51,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.56,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.61,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.66,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.71,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.76,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.81,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.86,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.91,5.85,11.06,-4.06,-0.00,-0.81,7.00,1
8.96,4.89,11.06,-4.06,-0.00,-0.81,7.00,1
9.01,6.17,11.06,-4.06,-0.00,-0.81,7.00,1
9.06,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
9.11,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
9.16,5.21,11.06,-4.06,-0.00,-0.81,7.00,1
9.21,4.56,11.06,-4.06,-0.00,-0.81,7.00,1
9.26,4.58,11.06,-4.06,-0.00,-0.81,7.00,1
9.31,4.58,11.06,-4.06,-0.00,-0.81,7.00,1
9.36,4.58,11.06,-4.06,-0.00,-0.81,7.00,1
9.41,4.89,11.06,-4.06,-0.00,-0.81,7.00,1
9.46,4.25,11.06,-4.06,-0.00,-0.81,7.00,1
9.51,4.56,11.06,-4.06,0.00,-0.81,7.00,1
9.56,4.89,11.06,-4.06,0.00,-0.81,7.00,1
9.61,7.77,11.06,-4.06,0.00,-0.81,7.00,1
9.66,9.78,11.06,-4.06,0.00,-0.81,7.00,1
9.71,5.85,11.06,-4.06,0.00,-0.81,7.00,1
9.76,5.54,11.06,-4.06,0.00,-0.81,7.00,1
9.81,15.76,11.06,-4.06,0.00,-0.81,7.00,1
9.86,4.58,11.06,-4.06,0.00,-0.81,7.00,1
9.91,4.58,11.06,-4.06,0.00,-0.81,7.00,1
9.96,4.56,11.06,-4.06,0.00,-0.81,7.00,1
10.01,4.58,11.06,-4.06,0.00,-0.81,7.00,1
10.06,4.56,11.06,-4.06,0.00,-0.81,7.00,1
10.11,4.56,11.06,-4.06,0.00,-0.81,7.00,1
10.16,5.85,11.06,-4.06,0.00,-0.81,7.00,1
10.21,5.85,11.06,-4.06,0.00,-0.81,7.00,1
10.26,5.87,11.06,-4.06,0.00,-0.81,7.00,1
10.31,5.85,11.06,-4.06,0.00,-0.81,7.00,1
10.36,5.85,11.06,-4.06,0.00,-0.81,7.00,1
10.41,4.89,11.06,-4.06,0.00,-0.81,7.00,1
10.46,4.89,11.06,-4.06,0.00,-0.81,7.00,1
10.51,5.85,11.06,-4.06,0.00,-0.81,7.00,1
