time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
4.44,21.59,21.42,0.00,0.00,0.00,7.00,0
4.50,80.00,21.58,0.00,0.00,0.00,7.00,0
4.55,80.00,21.57,0.00,0.00,0.00,7.00,0
4.60,21.25,21.11,0.00,0.00,0.00,7.00,0
4.65,20.29,20.68,0.00,0.00,0.00,7.00,0
4.70,20.82,20.74,0.00,0.00,0.00,7.00,0
4.75,80.00,20.16,0.00,0.00,0.00,7.00,0
4.81,19.86,20.81,0.00,0.00,0.00,7.00,0
4.86,80.00,19.90,0.00,0.00,0.00,7.00,0
4.91,80.00,19.92,0.00,0.00,0.00,7.00,0
4.96,18.66,18.92,0.00,0.00,0.00,7.00,0
5.02,80.00,18.35,0.00,0.00,0.00,7.00,0
5.07,17.03,17.43,0.00,0.00,0.00,7.00,0
5.12,80.00,17.61,0.00,0.00,0.00,7.00,0
5.17,17.36,17.29,0.00,0.00,0.00,7.00,0
5.23,80.00,16.97,0.00,0.00,0.00,7.00,0
5.28,16.70,16.72,0.00,0.00,0.00,7.00,0
5.33,80.00,16.37,0.00,0.00,0.00,7.00,0
5.38,16.38,16.26,0.00,0.00,0.00,7.00,0
5.44,80.00,16.05,0.00,0.00,0.00,7.00,0
5.49,16.17,16.00,0.00,0.00,0.00,7.00,0
5.54,80.00,15.72,0.00,0.00,0.00,7.00,0
5.59,13.70,14.68,0.00,0.00,0.00,7.00,0
5.65,80.00,13.80,0.00,0.00,0.00,7.00,0
5.70,13.69,13.60,0.00,0.00,0.00,7.00,0
5.75,80.00,13.38,0.00,0.00,0.00,7.00,0
5.80,12.37,12.51,0.00,0.00,0.00,7.00,0
5.85,80.00,12.30,0.00,0.00,0.00,7.00,0
5.90,11.01,12.09,0.00,0.00,0.00,7.00,0
5.95,80.00,11.76,0.00,0.00,0.00,7.00,0
6.01,80.00,11.35,0.00,0.00,0.00,7.00,0
6.06,80.00,10.25,0.00,0.00,0.00,7.00,0
6.12,80.00,9.98,1.13,13.27,13.49,7.00,1
6.17,80.00,9.76,-1.16,-21.45,-21.68,7.00,1
6.23,80.00,10.08,-2.29,-22.14,-22.59,7.00,1
6.28,9.76,9.58,-2.46,-11.12,-11.61,7.00,1
6.33,80.00,9.07,-2.23,-1.88,-2.33,7.00,1
6.38,80.00,9.08,-2.14,0.28,-0.15,7.00,1
6.44,80.00,8.04,-1.49,7.75,7.45,7.00,1
6.49,80.00,7.75,-1.06,8.34,8.13,7.00,1
6.54,80.00,7.77,-0.89,5.42,5.24,7.00,1
6.60,80.00,8.08,-1.00,0.91,0.71,7.00,1
6.65,80.00,7.10,-0.47,6.58,6.48,7.00,1
6.71,80.00,7.66,0.00,0.00,0.00,7.00,0
6.76,80.00,6.63,0.03,8.56,8.56,7.00,1
6.81,80.00,6.30,0.42,8.19,8.27,7.00,1
6.86,80.00,6.17,0.66,6.17,6.30,7.00,1
6.92,80.00,6.47,0.58,1.62,1.73,7.00,1
6.97,80.00,6.47,0.55,0.32,0.44,7.00,1
